name,set_size_m,batch_size_k,arity,total_memory_m,num_hashing_per_batch,disk_bytes_per_update,k_updates_per_sec
arity_2_leaves_16m_batch_1k,16,1,2,511,15359,479,80.007
arity_4_leaves_16m_batch_1k,16,1,4,170,7509,234,116.23
arity_8_leaves_16m_batch_1k,16,1,8,73,4681,146,141.48
arity_16_leaves_16m_batch_1k,16,1,16,34,3345,104,132.19
arity_32_leaves_16m_batch_1k,16,1,32,16,2577,80,115.45
arity_64_leaves_16m_batch_1k,16,1,64,8,2113,66,75.443
arity_256_leaves_16m_batch_1k,16,1,256,2,1281,40,34.582
arity_2_leaves_16m_batch_10k,16,10,2,511,118783,371,107.52
arity_4_leaves_16m_batch_10k,16,10,4,170,56661,177,155.67
arity_8_leaves_16m_batch_10k,16,10,8,73,35401,110,187.84
arity_16_leaves_16m_batch_10k,16,10,16,34,24849,77,180.56
arity_32_leaves_16m_batch_10k,16,10,32,16,21009,65,143.19
arity_64_leaves_16m_batch_10k,16,10,64,8,14401,45,111.36
arity_256_leaves_16m_batch_10k,16,10,256,2,10497,32,42.115
arity_2_leaves_16m_batch_100k,16,100,2,511,847871,264,150.05
arity_4_leaves_16m_batch_100k,16,100,4,170,394581,123,221.31
arity_8_leaves_16m_batch_100k,16,100,8,73,242249,75,274.41
arity_16_leaves_16m_batch_100k,16,100,16,34,172305,53,258.85
arity_32_leaves_16m_batch_100k,16,100,32,16,119313,37,237.13
arity_64_leaves_16m_batch_100k,16,100,64,8,106561,33,142.04
arity_256_leaves_16m_batch_100k,16,100,256,2,65793,20,65.393
arity_2_leaves_64m_batch_1k,64,1,2,2047,17407,543,72.367
arity_4_leaves_64m_batch_1k,64,1,4,682,8533,266,103.16
arity_8_leaves_64m_batch_1k,64,1,8,292,5413,169,122.02
arity_16_leaves_64m_batch_1k,64,1,16,136,4165,130,102.32
arity_32_leaves_64m_batch_1k,64,1,32,66,3139,98,90.492
arity_64_leaves_64m_batch_1k,64,1,64,32,2309,72,65.734
arity_256_leaves_64m_batch_1k,64,1,256,8,2053,64,20.239
arity_2_leaves_64m_batch_10k,64,10,2,2047,139263,435,86.616
arity_4_leaves_64m_batch_10k,64,10,4,682,66901,209,124.77
arity_8_leaves_64m_batch_10k,64,10,8,292,43301,135,145.43
arity_16_leaves_64m_batch_10k,64,10,16,136,31813,99,133.73
arity_32_leaves_64m_batch_10k,64,10,32,66,22595,70,125.63
arity_64_leaves_64m_batch_10k,64,10,64,32,20741,64,73.105
arity_256_leaves_64m_batch_10k,64,10,256,8,11269,35,37.147
arity_2_leaves_64m_batch_100k,64,100,2,2047,1052671,328,114.56
arity_4_leaves_64m_batch_100k,64,100,4,682,496981,155,167.86
arity_8_leaves_64m_batch_100k,64,100,8,292,325925,101,194.44
arity_16_leaves_64m_batch_100k,64,100,16,136,222277,69,191.92
