name,set_size_m,batch_size_k,arity,total_levels,total_memory_m,overlapping_top_levels,sparse_levels,total_hashing,disk_bytes_per_update,k_updates_per_sec
arity_2_leaves_16m_batch_1k,16,1,2,24,511,11,13,15359,479,100.72
arity_4_leaves_16m_batch_1k,16,1,4,12,170,6,6,7509,234,137.06
arity_8_leaves_16m_batch_1k,16,1,8,8,73,4,4,4681,146,164.77
arity_16_leaves_16m_batch_1k,16,1,16,6,34,3,3,3345,104,157.65
arity_32_leaves_16m_batch_1k,16,1,32,5,33,3,2,3105,97,113.16
arity_64_leaves_16m_batch_1k,16,1,64,4,8,2,2,2113,66,89.932
arity_256_leaves_16m_batch_1k,16,1,256,3,2,2,1,1281,40,40.499
arity_2_leaves_16m_batch_10k,16,10,2,24,511,14,10,118783,371,127.8
arity_4_leaves_16m_batch_10k,16,10,4,12,170,7,5,56661,177,185.63
arity_8_leaves_16m_batch_10k,16,10,8,8,73,5,3,35401,110,220.31
arity_16_leaves_16m_batch_10k,16,10,16,6,34,4,2,24849,77,213.97
arity_32_leaves_16m_batch_10k,16,10,32,5,33,3,2,21537,67,164.27
arity_64_leaves_16m_batch_10k,16,10,64,4,8,3,1,14401,45,129.7
arity_256_leaves_16m_batch_10k,16,10,256,3,2,2,1,10497,32,49.559
arity_2_leaves_16m_batch_100k,16,100,2,24,511,17,7,847871,264,177.38
arity_4_leaves_16m_batch_100k,16,100,4,12,170,9,3,394581,123,265.72
arity_8_leaves_16m_batch_100k,16,100,8,8,73,6,2,242249,75,324.06
arity_16_leaves_16m_batch_100k,16,100,16,6,34,5,1,172305,53,313.02
arity_32_leaves_16m_batch_100k,16,100,32,5,33,4,1,136225,42,269.5
arity_64_leaves_16m_batch_100k,16,100,64,4,8,3,1,106561,33,179.61
arity_256_leaves_16m_batch_100k,16,100,256,3,2,3,0,65793,20,80.954
arity_2_leaves_64m_batch_1k,64,1,2,26,2047,11,15,17407,543,86.868
arity_4_leaves_64m_batch_1k,64,1,4,13,682,6,7,8533,266,123.5
arity_8_leaves_64m_batch_1k,64,1,8,9,585,4,5,5705,178,140.39
arity_16_leaves_64m_batch_1k,64,1,16,7,546,3,4,4369,136,123.78
arity_32_leaves_64m_batch_1k,64,1,32,6,1057,3,3,4129,129,88.572
arity_64_leaves_64m_batch_1k,64,1,64,5,520,2,3,3137,98,62.651
arity_256_leaves_64m_batch_1k,64,1,256,4,514,2,2,2305,72,23.561
arity_2_leaves_64m_batch_10k,64,10,2,26,2047,14,12,139263,435,111.38
arity_4_leaves_64m_batch_10k,64,10,4,13,682,7,6,66901,209,160.33
arity_8_leaves_64m_batch_10k,64,10,8,9,585,5,4,45641,142,174.08
arity_16_leaves_64m_batch_10k,64,10,16,7,546,4,3,35089,109,156.97
arity_32_leaves_64m_batch_10k,64,10,32,6,1057,3,3,31777,99,115.22
arity_64_leaves_64m_batch_10k,64,10,64,5,520,3,2,24641,77,76.856
arity_256_leaves_64m_batch_10k,64,10,256,4,514,2,2,20737,64,26.095
arity_2_leaves_64m_batch_100k,64,100,2,26,2047,17,9,1052671,328,146.03
arity_4_leaves_64m_batch_100k,64,100,4,13,682,9,4,496981,155,208.33
arity_8_leaves_64m_batch_100k,64,100,8,9,585,6,3,344649,107,229.06
arity_16_leaves_64m_batch_100k,64,100,16,7,546,5,2,274705,85,197.04
arity_32_leaves_64m_batch_100k,64,100,32,6,1057,4,2,238625,74,148.8
arity_64_leaves_64m_batch_100k,64,100,64,5,520,3,2,208961,65,90.605
arity_256_leaves_64m_batch_100k,64,100,256,4,514,3,1,168193,52,31.303
arity_2_leaves_128m_batch_1k,128,1,2,27,4095,11,16,18431,575,84.039
arity_4_leaves_128m_batch_1k,128,1,4,14,2730,6,8,9557,298,112.14
arity_8_leaves_128m_batch_1k,128,1,8,10,4681,4,6,6729,210,120.95
arity_16_leaves_128m_batch_1k,128,1,16,7,546,3,4,4369,136,125.76
arity_32_leaves_128m_batch_1k,128,1,32,6,1057,3,3,4129,129,84.524
arity_64_leaves_128m_batch_1k,128,1,64,5,520,2,3,3137,98,59.66
arity_256_leaves_128m_batch_1k,128,1,256,4,514,2,2,2305,72,22.327
arity_2_leaves_128m_batch_10k,128,10,2,27,4095,14,13,149503,467,101.79
arity_4_leaves_128m_batch_10k,128,10,4,14,2730,7,7,77141,241,134.59
arity_8_leaves_128m_batch_10k,128,10,8,10,4681,5,5,55881,174,142.34
arity_16_leaves_128m_batch_10k,128,10,16,7,546,4,3,35089,109,151.85
arity_32_leaves_128m_batch_10k,128,10,32,6,1057,3,3,31777,99,110.96
arity_64_leaves_128m_batch_10k,128,10,64,5,520,3,2,24641,77,78.594
arity_256_leaves_128m_batch_10k,128,10,256,4,514,2,2,20737,64,25.719
arity_2_leaves_128m_batch_100k,128,100,2,27,4095,17,10,1155071,360,132.17
arity_4_leaves_128m_batch_100k,128,100,4,14,2730,9,5,599381,187,173.89
arity_8_leaves_128m_batch_100k,128,100,8,10,4681,6,4,447049,139,177.19
arity_16_leaves_128m_batch_100k,128,100,16,7,546,5,2,274705,85,197.27
arity_32_leaves_128m_batch_100k,128,100,32,6,1057,4,2,238625,74,147.52
arity_64_leaves_128m_batch_100k,128,100,64,5,520,3,2,208961,65,91.55
arity_256_leaves_128m_batch_100k,128,100,256,4,514,3,1,168193,52,31.028
arity_2_leaves_1000m_batch_1k,1000,1,2,30,32767,11,19,21503,671,70.821
arity_4_leaves_1000m_batch_1k,1000,1,4,15,10922,6,9,10581,330,98.228
arity_8_leaves_1000m_batch_1k,1000,1,8,10,4681,4,6,6729,210,116.92
arity_16_leaves_1000m_batch_1k,1000,1,16,8,8738,3,5,5393,168,98.034
arity_32_leaves_1000m_batch_1k,1000,1,32,6,1057,3,3,4129,129,85.113
arity_64_leaves_1000m_batch_1k,1000,1,64,5,520,2,3,3137,98,61.639
arity_256_leaves_1000m_batch_1k,1000,1,256,4,514,2,2,2305,72,23.111
arity_2_leaves_1000m_batch_10k,1000,10,2,30,32767,14,16,180223,563,84.176
arity_4_leaves_1000m_batch_10k,1000,10,4,15,10922,7,8,87381,273,117.48
arity_8_leaves_1000m_batch_10k,1000,10,8,10,4681,5,5,55881,174,143.11
arity_16_leaves_1000m_batch_10k,1000,10,16,8,8738,4,4,45329,141,119.27
arity_32_leaves_1000m_batch_10k,1000,10,32,6,1057,3,3,31777,99,112.75
arity_64_leaves_1000m_batch_10k,1000,10,64,5,520,3,2,24641,77,78.297
arity_256_leaves_1000m_batch_10k,1000,10,256,4,514,2,2,20737,64,25.224
arity_2_leaves_1000m_batch_100k,1000,100,2,30,32767,17,13,1462271,456,101.77
arity_4_leaves_1000m_batch_100k,1000,100,4,15,10922,9,6,701781,219,149.6
arity_8_leaves_1000m_batch_100k,1000,100,8,10,4681,6,4,447049,139,173.24
arity_16_leaves_1000m_batch_100k,1000,100,16,8,8738,5,3,377105,117,142.44
arity_32_leaves_1000m_batch_100k,1000,100,32,6,1057,4,2,238625,74,148.63
arity_64_leaves_1000m_batch_100k,1000,100,64,5,520,3,2,208961,65,90.757
arity_256_leaves_1000m_batch_100k,1000,100,256,4,514,3,1,168193,52,31.092
arity_2_leaves_10000m_batch_1k,10000,1,2,34,524287,11,23,25599,799,58.194
arity_4_leaves_10000m_batch_1k,10000,1,4,17,174762,6,11,12629,394,83.492
arity_8_leaves_10000m_batch_1k,10000,1,8,12,299593,4,8,8777,274,88.269
arity_16_leaves_10000m_batch_1k,10000,1,16,9,139810,3,6,6417,200,81.449
arity_32_leaves_10000m_batch_1k,10000,1,32,7,33825,3,4,5153,161,69.262
arity_64_leaves_10000m_batch_1k,10000,1,64,6,33288,2,4,4161,130,46.486
arity_256_leaves_10000m_batch_1k,10000,1,256,5,131586,2,3,3329,104,16.272
arity_2_leaves_10000m_batch_10k,10000,10,2,34,524287,14,20,221183,691,69.99
arity_4_leaves_10000m_batch_10k,10000,10,4,17,174762,7,10,107861,337,99.644
arity_8_leaves_10000m_batch_10k,10000,10,8,12,299593,5,7,76361,238,103.64
arity_16_leaves_10000m_batch_10k,10000,10,16,9,139810,4,5,55569,173,98.887
arity_32_leaves_10000m_batch_10k,10000,10,32,7,33825,3,4,42017,131,87.265
arity_64_leaves_10000m_batch_10k,10000,10,64,6,33288,3,3,34881,109,54.816
arity_256_leaves_10000m_batch_10k,10000,10,256,5,131586,2,3,30977,96,17.044
arity_2_leaves_10000m_batch_100k,10000,100,2,34,524287,17,17,1871871,584,80.525
arity_4_leaves_10000m_batch_100k,10000,100,4,17,174762,9,8,906581,283,116.54
arity_8_leaves_10000m_batch_100k,10000,100,8,12,299593,6,6,651849,203,120.27
arity_16_leaves_10000m_batch_100k,10000,100,16,9,139810,5,4,479505,149,113.28
arity_32_leaves_10000m_batch_100k,10000,100,32,7,33825,4,3,341025,106,106.03
arity_64_leaves_10000m_batch_100k,10000,100,64,6,33288,3,3,311361,97,61.69
arity_256_leaves_10000m_batch_100k,10000,100,256,5,131586,3,2,270593,84,19.753
arity_2_leaves_100000m_batch_1k,100000,1,2,37,4194303,11,26,28671,895,51.705
arity_4_leaves_100000m_batch_1k,100000,1,4,19,2796202,6,13,14677,458,70.897
arity_8_leaves_100000m_batch_1k,100000,1,8,13,2396745,4,9,9801,306,80.005
arity_16_leaves_100000m_batch_1k,100000,1,16,10,2236962,3,7,7441,232,73.712
arity_32_leaves_100000m_batch_1k,100000,1,32,8,1082401,3,5,6177,193,59.275
arity_64_leaves_100000m_batch_1k,100000,1,64,7,2130440,2,5,5185,162,36.871
arity_256_leaves_100000m_batch_1k,100000,1,256,5,131586,2,3,3329,104,16.351
arity_2_leaves_100000m_batch_10k,100000,10,2,37,4194303,14,23,251903,787,59.981
arity_4_leaves_100000m_batch_10k,100000,10,4,19,2796202,7,12,128341,401,80.567
arity_8_leaves_100000m_batch_10k,100000,10,8,13,2396745,5,8,86601,270,89.974
arity_16_leaves_100000m_batch_10k,100000,10,16,10,2236962,4,6,65809,205,80.213
arity_32_leaves_100000m_batch_10k,100000,10,32,8,1082401,3,5,52257,163,67.168
arity_64_leaves_100000m_batch_10k,100000,10,64,7,2130440,3,4,45121,141,41.756
arity_256_leaves_100000m_batch_10k,100000,10,256,5,131586,2,3,30977,96,17.178
arity_2_leaves_100000m_batch_100k,100000,100,2,37,4194303,17,20,2179071,680,69.266
arity_4_leaves_100000m_batch_100k,100000,100,4,19,2796202,9,10,1111381,347,95.011
arity_8_leaves_100000m_batch_100k,100000,100,8,13,2396745,6,7,754249,235,105.24
arity_16_leaves_100000m_batch_100k,100000,100,16,10,2236962,5,5,581905,181,92.889
arity_32_leaves_100000m_batch_100k,100000,100,32,8,1082401,4,4,443425,138,79.711
arity_64_leaves_100000m_batch_100k,100000,100,64,7,2130440,3,4,413761,129,46.698
arity_256_leaves_100000m_batch_100k,100000,100,256,5,131586,3,2,270593,84,19.536
